Call_ID,Raw Transcripts,Preprocessed Transcripts
56482635,"Welcome to HDFC life my name is Kai how may I help you hello. I have a child policy. I wanted to know How do I check my Phone value of my policy for the chill insurance sure ma'am about before that so verification purposes? May I know your full name and the policy number, yeah, sure my name is Angel and my policy number is 8234 K.
Just a second.
Oh yes, so mom, you can check the fun value of your policy under policy summary section.
Of my account, I have not registered on line is there any other way.
Sure, mom, you may also register this for the SMS on the move facility where you.
Guys have uh so many registration processes. Icsi insurance does not have so many registering procedures can you tell me an easy way out?
Mom this is just a one time registration pop process.
And you do not have to do anything post that and you would be getting continuous updates.
Oh, fine, I'll do that, OK, ma'am, so you can register for the service by.
Typing Reg space policy number.
90 two 5676727.
Alright.
Please mom uh this is only for a unit link policy. I just wanted to inform you. Yes, I got that.
OK, ma'am, uh.
Is there anything else I may assist you with?
No thank you. You should be all maybe you can see, he's out with your registration process. Show mom, a thank you for calling HTC life have a pleasant day.","['welcome', 'life', 'help', 'hello', 'child', 'policy', 'want', 'know', 'check', 'phone', 'value', 'policy', 'chill', 'insurance', 'purpose', 'know', 'policy_number', 'angel', 'policy_number', 'second', 'check', 'value', 'policy', 'policy', 'summary', 'section', 'account', 'register', 'line', 'register', 'facility', 'registration_process', 'icsi', 'insurance', 'registering', 'procedure', 'easy', 'time', 'registration', 'process', 'post', 'continuous', 'update', 'fine', 'register', 'service', 'type', 'space', 'policy_number', 'alright', 'unit', 'link', 'policy', 'want', 'inform', 'assist', 'maybe', 'registration_process', 'life', 'pleasant']"
61876574,"Good afternoon, HDFC Life customer care. This is Alex how may I help you today.
Hi Alex I wanted to take a unit linked plan can you help me with that.
Yeah, sure man, please may I have your name and mobile number before that.
My name is Angel and mobile number is 71234567.
OK mom.
I want to know you want to get some information about the unit link plan or do you already know about it?
I haven't No but can you tell me the premiums and how much the benefit I'll get then I'll I'll agree I'll I'll get a more confirmation on that.
Yeah, I'm so minimum premium amount is 24,000 yearly.
And what else do you want to know ma'am no?
Oh, OK? What is the procedure to enroll it immediately.
Or you can enroll easily you can either you can either have an agent get in touch with you. He can call you and come over to collect your documents you can also do it online mam, which is also very easy.
OK, I'll go with online processor only did they mention anyone the documents. I need to upload and everything? Is it OK for everybody to understand?
You can go on HDFC Life website, you will have an option there to register. You need to have your other card your pan card and two photo graphs of yours, passport size which we need to upload on the website and uh that's it, ma'am.
OK let's thank you so much for the information.
Mom is there anything else that I can help you with.
Know if I get any problems I'll contact with you.
Yeah, sure mom, you can contact me and also write me Mail to query at the ratehdfclife.com.
OK mom.
OK, thank you Alex.
Is there anything else I can do no?
Thank you, ma'am, thank you for calling HDFC life have a great day.","['good', 'customer', 'care', 'help', 'today', 'want', 'unit_link', 'plan', 'help', 'mobile_number', 'angel', 'mobile_number', 'want', 'know', 'want', 'information', 'unit_link', 'plan', 'know', 'premium', 'benefit', 'agree', 'confirmation', 'minimum', 'premium', 'yearly', 'want', 'know', 'procedure', 'enroll', 'immediately', 'enroll', 'easily', 'agent', 'touch', 'come', 'collect', 'document', 'online', 'easy', 'online', 'processor', 'mention', 'document', 'need', 'upload', 'everybody', 'understand', 'website', 'option', 'register', 'need', 'card', 'card', 'photo', 'graph', 'passport', 'size', 'need', 'upload', 'website', 'information', 'help', 'know', 'problem', 'contact', 'contact', 'write', 'mail', 'query', 'ratehdfclife', 'great']"
85550179,"Good morning. Welcome to HDFC insurance? How can I help you?
Hi I want I have read about your uh.
Personal health plan I wanted to know that you know, there were some 627 options and I want to know what their benefits work.
Maybe you are referring to the protected health plan.
Uh.
Of HDFC Is It.
Yes yes sorry protect health plan.
Uh yeah, um so may I know, but 1st May. I know your name and number please.
My name is Ciara and my Phone number is 2424.
24.
Thank you for that information so as you said uh in the protected health plan. We have UH-7 plan options. Uh like from A to G and uh. I would take uh. I'll take a few minutes to explain you the benefits covered by each plan.
No no just tell me what band what a plan would be good, according to you.
So ma'am, uh, according to me, you can go with Plan B of plan F.
But how do you know that's my requirement?
Uh so ma'am, uh I'm assuming that you use your uh inquiring for the surgical benefit or plus the critical illness benefit plan or the daily hospital cash benefit plan or yeah. True yeah, so you, you can get those 2 plans uh in EMF.
OK, thank you.
